T  Ainit D Etat
11 22 0.1  1
11 23 0  1
11 23 0.01  1
11 23 0.02  1
11 23 0.03  1
11 23 0.04  1
11 23 0.05  1
11 23 0.06  1
11 23 0.07  1
11 23 0.08  1
11 23 0.09  1
11 23 0.1  1
11 24 0  1
11 24 0.01  1
11 24 0.02  1
11 24 0.03  1
11 24 0.04  1
11 24 0.05  1
11 24 0.06  1
11 24 0.07  1
11 24 0.08  1
11 24 0.09  1
11 24 0.1  1
11 25 0  1
11 25 0.01  1
11 25 0.02  1
11 25 0.03  1
11 25 0.04  1
11 25 0.05  1
11 25 0.06  1
11 25 0.07  1
11 25 0.08  1
11 25 0.09  1
11 25 0.1  1
11 26 0  1
11 26 0.01  1
11 26 0.02  1
11 26 0.03  1
11 26 0.04  1
11 26 0.05  1
11 26 0.06  1
11 26 0.07  1
11 26 0.08  1
11 26 0.09  1
11 26 0.1  1
